seq1	12q8.7	(6.4,30.1)
seq2	15q14.8	(6.7,8.9)
seq3	12q9.10	(25.4,15.0)
seq4	5p9.13	(3.9,8.3)
seq5	8q14.5	(21.8,5.4)
seq6	2p3.7	(11.8,24.5)
seq7	5q13.7	(28.4,3.5)
seq8	4p7.3	(13.8,19.6)
seq9	15q11.10	(9.4,27.2)
seq10	9p14.9	(15.9,4.0)
seq11	11q1.13	(11.5,24.7)
seq12	9p4.11	(15.3,18.0)
seq13	5q13.8	(21.6,1.5)
seq14	12q12.4	(6.3,1.7)
seq15	1q15.8	(9.3,15.7)
seq16	10q8.11	(23.0,31.4)
seq17	7q8.8	(23.3,10.5)
seq18	17p15.3	(28.3,25.6)
seq19	16p12.11	(21.3,10.1)
seq20	13p5.10	(31.5,4.6)
seq21	16q10.1	(31.3,21.0)
seq22	12q5.10	(21.7,6.2)
seq23	12p3.1	(27.4,3.5)
seq24	20p8.1	(17.4,14.0)
seq25	8p14.13	(26.6,25.7)
seq26	10q12.11	(8.8,6.7)
seq27	11p2.11	(12.1,8.2)
seq28	6q4.11	(26.7,6.9)
seq29	11q10.12	(17.6,12.3)
seq30	12q1.10	(30.1,21.0)
seq31	18p6.12	(12.3,13.4)
seq32	17q12.14	(5.9,21.0)
seq33	5p13.4	(19.8,12.0)
seq34	4p10.11	(5.9,4.2)
seq35	7q6.14	(1.5,13.0)
seq36	16q1.7	(20.6,4.4)
seq37	1p9.6	(13.2,2.3)
seq38	8q15.1	(27.4,8.6)
seq39	21p14.2	(21.0,25.9)
seq40	5p15.1	(6.7,23.3)
seq41	21q10.7	(9.8,1.2)
seq42	1q14.14	(5.9,26.1)
seq43	10q7.13	(13.6,19.2)
seq44	15q10.4	(9.4,22.2)
seq45	7q14.10	(6.2,31.4)
seq46	19q5.3	(2.9,0.8)
seq47	20p7.15	(15.3,29.7)
seq48	4p8.1	(17.1,27.7)
seq49	4p10.12	(7.8,14.3)
seq50	19q15.8	(22.4,17.4)
seq51	9q8.12	(7.6,15.8)
seq52	22p4.1	(9.6,31.1)
seq53	16p4.1	(23.5,4.7)
seq54	5q2.14	(1.4,2.7)
seq55	11q3.2	(9.8,18.0)
seq56	19p8.15	(30.9,0.2)
