seq1	4p12.1	(45.6,69.2)
seq2	16q2.6	(33.5,98.1)
seq3	5p15.8	(78.3,25.2)
seq4	9q11.8	(63.2,8.7)
seq5	9q4.12	(98.5,80.2)
seq6	3p12.4	(63.7,49.8)
seq7	7q12.1	(35.9,81.9)
seq8	19p15.4	(17.3,22.1)
seq9	22q10.7	(12.1,37.3)
seq10	20q13.15	(61.5,30.1)
seq11	15p1.14	(62.0,11.1)
seq12	17q1.15	(27.1,43.1)
seq13	8q4.2	(80.9,40.4)
seq14	22q11.5	(85.6,84.0)
seq15	12q15.7	(35.0,43.0)
seq16	11p6.4	(96.6,17.1)
seq17	16q7.6	(16.9,88.6)
seq18	17p9.11	(98.6,25.7)
seq19	11p12.6	(69.8,37.1)
seq20	17q7.1	(91.6,53.2)
seq21	17p8.10	(4.8,33.0)
seq22	20q13.2	(54.8,47.6)
seq23	7p10.9	(17.9,58.8)
seq24	8p5.14	(38.8,51.5)
seq25	12p4.3	(23.8,64.3)
seq26	20q9.5	(92.5,19.7)
seq27	22p12.3	(27.7,9.5)
seq28	21q4.10	(9.5,64.9)
seq29	7p6.10	(37.9,54.6)
seq30	9q5.6	(13.5,66.5)
seq31	14p14.9	(81.6,44.8)
seq32	12p8.12	(40.9,75.1)
seq33	14q8.14	(65.6,62.2)
seq34	8p10.2	(99.7,24.3)
seq35	10q12.6	(96.6,61.6)
seq36	10p8.15	(73.2,90.3)
seq37	15p9.15	(16.7,87.6)
seq38	12q12.7	(65.6,10.2)
seq39	4p6.11	(66.4,38.2)
seq40	19q1.12	(97.5,89.1)
seq41	5q8.7	(62.7,62.6)
seq42	2p11.2	(97.1,98.8)
seq43	10q4.12	(79.1,29.2)
seq44	1p9.10	(49.5,7.9)
seq45	4q13.14	(16.9,31.0)
seq46	17p10.5	(49.6,18.0)
seq47	16q10.4	(7.2,67.9)
seq48	21p6.8	(8.3,55.2)
seq49	1p8.4	(1.4,99.2)
seq50	9q9.2	(88.0,68.3)
seq51	5p14.7	(14.1,21.6)
seq52	2q11.13	(79.5,78.1)
seq53	2q9.7	(13.3,72.4)
seq54	17q2.2	(21.4,20.5)
seq55	4q10.12	(65.6,30.4)
seq56	2q12.11	(91.4,78.6)
seq57	12q7.8	(89.3,97.3)
seq58	15q9.13	(7.9,40.1)
seq59	20q7.2	(61.6,24.8)
seq60	22q9.7	(83.6,99.8)
seq61	2p13.11	(73.4,42.7)
seq62	20q2.14	(88.0,29.8)
seq63	12q12.1	(48.9,74.1)
seq64	1q7.11	(8.2,56.2)
seq65	20p14.13	(1.6,40.1)
seq66	3q3.4	(66.5,55.8)
seq67	8p4.11	(20.9,27.1)
seq68	11q9.13	(30.0,87.2)
seq69	2q7.3	(9.7,43.3)
seq70	16q13.12	(28.6,29.4)
seq71	4p7.15	(30.6,12.9)
seq72	14q4.11	(24.6,78.8)
seq73	15q6.5	(91.5,19.3)
seq74	8q8.6	(35.7,56.1)
seq75	6q7.6	(1.8,62.1)
seq76	15q14.13	(68.4,91.3)
seq77	4p5.12	(56.9,38.1)
seq78	8p14.7	(14.1,39.8)
seq79	11p10.13	(69.1,24.9)
seq80	18p15.10	(40.5,58.5)
seq81	14p10.3	(88.5,35.5)
seq82	13q14.3	(5.3,6.7)
seq83	1q4.8	(65.8,4.3)
seq84	10q9.8	(76.6,17.3)
seq85	4p7.5	(44.7,20.6)
seq86	13p11.3	(87.9,96.7)
seq87	10p10.10	(98.9,98.1)
seq88	10p12.7	(98.1,65.7)
seq89	5p1.3	(33.0,53.7)
seq90	2p3.11	(28.1,14.2)
seq91	21p3.4	(19.4,69.5)
seq92	11q11.10	(71.2,21.3)
seq93	21p6.13	(44.6,37.3)
seq94	2q12.4	(49.8,69.2)
seq95	10p9.4	(52.7,33.8)
seq96	11p14.11	(60.6,75.3)
seq97	3p11.13	(71.2,65.9)
seq98	16q12.15	(61.5,57.6)
seq99	4p13.15	(85.2,48.0)
seq100	13q7.4	(42.2,79.8)
seq101	1q4.9	(67.7,72.8)
seq102	16p7.10	(72.6,29.5)
seq103	2q14.3	(63.5,51.8)
seq104	13q13.14	(7.3,57.8)
seq105	16q12.8	(34.1,91.1)
seq106	8q4.13	(69.8,23.4)
seq107	3q9.5	(16.3,44.2)
seq108	5q13.13	(3.1,12.0)
seq109	22q1.4	(24.3,12.1)
seq110	17q12.11	(56.7,32.5)
seq111	14q8.13	(31.1,33.5)
seq112	11q4.15	(69.4,72.2)
seq113	6p6.5	(1.8,34.8)
seq114	12q9.2	(7.0,24.1)
seq115	14q4.8	(21.9,86.6)
seq116	9p8.7	(24.2,55.0)
seq117	1q14.13	(52.2,32.8)
seq118	10q11.2	(80.1,98.2)
seq119	6p10.3	(18.9,29.8)
seq120	21q14.10	(81.1,73.0)
seq121	5p6.3	(89.9,55.2)
seq122	9p9.5	(42.4,19.5)
seq123	9p12.11	(2.5,66.3)
seq124	20q10.9	(42.4,52.6)
seq125	9q4.15	(8.0,23.8)
seq126	14q11.10	(51.0,12.1)
seq127	11q14.15	(22.6,25.1)
seq128	10p10.7	(96.4,35.3)
seq129	10q14.10	(70.1,70.4)
seq130	14q8.4	(94.6,0.3)
seq131	20q14.8	(40.3,94.6)
seq132	15q9.3	(0.8,40.3)
seq133	8q14.7	(30.7,46.2)
seq134	8p4.8	(20.2,82.8)
seq135	1p6.7	(73.6,78.9)
seq136	5q10.8	(95.2,55.2)
seq137	14p2.14	(99.0,54.8)
seq138	19q15.7	(6.6,23.7)
seq139	13q2.14	(8.1,90.2)
seq140	14p2.14	(51.9,80.1)
seq141	5p12.3	(3.1,34.0)
seq142	10p1.11	(78.9,67.0)
seq143	12q4.10	(16.1,96.4)
seq144	5p5.13	(53.3,13.6)
seq145	8p9.2	(74.3,94.6)
seq146	2q13.2	(10.3,76.1)
seq147	4q8.7	(43.3,21.3)
seq148	2p11.10	(85.6,81.5)
seq149	2q10.13	(72.6,27.8)
seq150	22p6.12	(70.7,12.3)
seq151	18q5.8	(77.1,81.1)
seq152	14p4.3	(8.0,35.6)
seq153	5q4.14	(54.5,16.8)
seq154	9p5.4	(54.9,84.2)
seq155	1q6.15	(95.2,80.3)
seq156	1p12.4	(56.5,11.7)
seq157	13q1.6	(29.7,98.2)
seq158	9q9.8	(87.8,28.5)
seq159	11q8.10	(70.0,55.2)
seq160	18q4.8	(40.7,36.8)
seq161	13p1.10	(41.8,63.0)
seq162	18q15.11	(35.7,72.6)
seq163	8q11.5	(22.2,8.9)
seq164	7q8.14	(20.4,63.4)
seq165	15q3.3	(92.6,40.7)
seq166	19q1.10	(76.9,31.7)
seq167	20q10.5	(2.3,44.6)
seq168	8q6.1	(38.7,74.0)
seq169	4p11.15	(75.6,28.9)
seq170	17p9.11	(90.7,21.5)
seq171	18p11.11	(92.5,15.7)
seq172	5q13.13	(91.4,43.3)
seq173	16p4.15	(19.8,26.6)
seq174	18p1.13	(55.9,63.9)
seq175	8q1.10	(27.1,72.4)
seq176	15p15.1	(25.9,71.2)
seq177	16p4.3	(81.3,90.6)
seq178	19p7.5	(28.6,74.8)
seq179	15p15.13	(23.4,63.6)
seq180	21p9.9	(79.6,1.9)
seq181	6q1.15	(95.5,81.3)
seq182	4p1.1	(43.1,93.1)
seq183	6q10.2	(75.4,98.7)
seq184	7p15.15	(13.8,41.0)
seq185	6p6.12	(87.7,80.5)
seq186	15q9.7	(36.3,51.1)
seq187	18p10.2	(57.1,14.3)
seq188	20p6.3	(49.5,90.2)
seq189	12p15.15	(37.4,18.1)
seq190	17p14.4	(36.4,40.3)
seq191	9q14.13	(34.7,27.3)
seq192	17q6.9	(69.4,99.5)
seq193	8q14.11	(50.5,58.9)
seq194	16p11.9	(38.1,15.3)
seq195	22q7.9	(8.7,40.6)
seq196	13p14.4	(13.2,51.4)
seq197	13p11.15	(20.4,53.7)
seq198	17q10.1	(18.4,46.0)
seq199	22p10.15	(16.2,92.8)
seq200	10p11.12	(11.6,95.8)
seq201	4q8.7	(12.9,25.0)
seq202	15p2.12	(80.7,2.3)
seq203	20p2.1	(56.8,16.4)
seq204	7q7.8	(92.7,49.4)
seq205	2q12.1	(66.0,58.6)
seq206	9p15.11	(54.7,39.0)
seq207	7q9.1	(86.3,27.1)
seq208	10p6.1	(80.5,58.4)
seq209	8p13.11	(18.3,49.4)
seq210	21p8.8	(70.8,46.9)
seq211	6q11.5	(1.7,13.7)
seq212	16q9.3	(71.6,51.9)
seq213	5q12.5	(5.9,95.8)
seq214	2q8.15	(57.5,51.8)
seq215	3q1.5	(58.8,64.2)
seq216	17p3.4	(2.7,0.8)
seq217	19q15.8	(85.5,46.3)
seq218	14p7.7	(52.0,55.7)
seq219	11q15.2	(18.5,27.5)
seq220	15q3.7	(70.4,45.7)
seq221	19p8.10	(21.5,56.9)
seq222	22p15.2	(53.7,20.4)
seq223	10p7.2	(57.7,6.6)
seq224	4q13.2	(26.1,12.2)
seq225	1q11.8	(11.0,27.5)
seq226	11q11.15	(30.5,66.8)
seq227	21q14.14	(29.9,23.3)
seq228	10q9.11	(5.0,77.1)
seq229	14p10.1	(48.1,21.8)
seq230	3q12.12	(57.4,85.2)
seq231	12p13.15	(32.6,5.0)
seq232	7q12.2	(8.4,21.2)
seq233	5p14.11	(26.9,7.6)
seq234	22q13.3	(72.3,18.0)
